Compound ID	MW	pKa Base 1	Ion class	Chamelogk100	Chamelogk90	curve shape annotation	ChamelogK curve (% ACN on X axis; logK on Y axis)	Chromelog D	ePSA	Ertl TPSA	ETR	"FeSSIF Dried DMSO solublility
(µM)
"	mouse CL (mL/min/kg)	Mouse BA (%)	mFabs
ARV-110	812.28822	6.7	Base	0.824398952179657	0.419022113	normal		5	116.0142857142857	181.17	0.654490257768946	892.0000000000001	3.85	64.6	0.6726823951481528
ARV-471	723.90166	7	Base	0.932862936873379	0.457650384	normal		5.8	145.925	96.43	1.4451934045421548	459.2	17.4	58.5	0.707
ARV-766	807.95196	6.9	Base	0.903159226401276	0.459725397	normal			117.8333333333333	156.34	0.7455481642573878	333.7333333333333	4.22	57.55	0.5977146599417235
KT-474	865.92677	7.8	Base	1.701528686	0.556928943	normal		2.5	124.9	175.15	0.7106194690265487	56.64000000000001	16.8	24	0.24998291315591017
NX-2127	719.8319	8.6	Base	1.2	0.340578149	normal		4.9	133.1333333333333	174.17	0.758006545329276		7.5	45	0.4910055668971248
NX-5948	806.95556	8.2	Base	1.67	0.476242712	normal		2	137.2	202.33	0.6747985963524934	150.1333333333333	22.95	74	0.8536551284879709
1	728.84196	8.1	Base	1.96468869880878	0.60339509	normal		1	117	143.92	0.8530016675931072	1.624	11.175	48.5	0.4918486070103436
2	797.94704	8.7	Base	-0.243068402498823	0.879913062	biphasic		1.9	139.2	147.16	0.9408127208480566	73.33333333333333	98.7	0	0
3	755.8673	8.2	Base	1.99906713	0.647600383	normal		2	127	156.81	0.8222498565142529	630.5333333333334	28.6	1	0.012317666697382929
4	755.8673	8.2	Base	-0.313821104788531	0.592849117	biphasic		2.2	124	156.81	0.8047318410815637		11.3	25	0.27007818052594174
5	786.36342	8.5	Base	1.229672149	0.3883201966866237	normal		4.2	156.2	132.74	1.1602606599367185	477.7333333333334	29.6	6	0.07450980392156863
6	801.37806	8.7	Base	-0.294081642215393	0.595956152	biphasic		3.9	146.3	145.63	1.0033166243219116	1000	27.6	15.4	0.18816720257234726
7	735.23056	3.3	Neutral	-3.533358003	-2.602487196	other		5.7	131	149.29	0.9119097059414563	377.0666666666667	1.15	12.9	0.12995327586559022
8	743.78542	4.1	Neutral	0.8	0.454338202	normal		4.5	157	174.55	0.8900143225436837	301.2	0.56	4	0.040148841263499886
9	828.91142	3.2	Neutral	1.27	0.655807517	normal		4.4	124.4	180.79	0.6945516898058521		27.5	1	0.012208835341365461
10	934.51398	5.5	Neutral	1.29	0.555638206	normal				186.36	0.5915647134578236		184	0	0
11	840.00526	7.4	Base	-1.000481095	0.397839378	biphasic		6.1	125.55	136.99	0.9214687203445507	264.1333333333333	10.55	4	0.042986425339366516
12	857.9957	8.6	Base	0.01	0.948900965	biphasic		2.3	129.6	171.42	0.7559794656399487	60.4	24.05	0	0
13	888.96341	8.7	Base	0.1	0.891025323	biphasic		1.52	129.040675	184.74	0.7063386380859586	61.53333333333334	65	0	0
14	732.29128	8.4	Base	0.137911856566504	0.87624118	other		0.9	154	135.26	1.137039775247671	1000	11.6	0.4	0.004332027075169219
15	887.97535	8.9	Base	0.4	0.972364025	biphasic		1.78	132.4684119	171.85	0.7712249054407914	32.61333333333334	28.8	0	0
16	888.96341	8.3	Base	0.4	1.153826247	biphasic		1.33	141.8344150333333	183.88	0.7632586469436589	126	48.2	0	0
